content,score
sangat bagus dan bermanfaat banget 🥰,3
sebelumnya langganan sebulan gak ada masalah tapi sekarang langganan 3 bulan ditv dan dihp saya enggak mau,1
keren,4
ok bagus,5
baik sekekali mirna,5
Banyakin lagi iklan nya min,1
kurang di film doang sedikit seperti pacific rim tidak ada lalu banyak film top yg tidak ada,2
keren banget👍👍👍,5
"gaada final destination sama the doll, munculnya si doel, gimana min",2
Hiburan Terbaik 😇,5
terlalu banyak iklan,1
"Asyik sih di video bisa nonton sinetron apapun yang kita sukai kapanpun mau, asal berlangganan premium. Padahal dulu gak usah bayar lo,,",5
bagus,1
terlalu banyak iklan... mana iklan nya selalu gbsa di puter dan akhirnya stuck di layar hitam. padahal cuman mau nonton 1-2 eps.,2
ok,5
mantap,5
"kecewa bgt nungguin episode bcw terbaru lama bgt, padahal udah berlangganan👎🏼",1
"Telalu banyak iklanya,, tolong dong di kurangi..",4
"tolong kembalikan dana saya, kesedot sendiri",1
di suruh bli mulu katanya gratiss😒,2
kenapa saya update berlangganan kok malah gak bisa min...,5
baru nyoba,4
Top,5
jaringan lancar tapi apk nya lemot parah,2
bagus,4
"lebih dari 70 kompetisi sport?? boong banget!👎 clickbait dih!👎 tambahin baseball lah, baseball jg sport, tambahin lah",1
ok,5
tidak ada konfirmasi apa apa tiba tiba otomatis perpanjang langganan. aplikasi maling,1
pelayan buruk. saya beli paket ultimet gak masuk,1
"Aplikasi nya sekarang harus berbayar, harus berlangganan",1
senang nonton film seri tapi kadang bingung beli paket,5
Untuk vidio apakah tidak ada niatan untuk menambahkan film-film dari TV series turki seperti Kurulus Osman dan Mehmed Fetihler Sultani,4
"mau jual iklan apa drama tolong kurang ngi iklan nya di setiap video ini 1 video iklan nya 10 malah durasi iklan nya panjang panjang lagi, durasi video nya 26 sampai 38 menit iklan nya 18 menit",1
"tolong dong ini gimana saldo saya udh kepotong awalnya tadi lemot pas transaksi paket premium lewat dana, akhirnya aku realog transaksi ulang tetep lemot tapi pass liat saldo transaksi berhasil dua² nya akhirnya saldo terkuras 100 RB tapi di aplikasinya tetep tidak berlangganan maksudnya apa, sumpah kecewa banget min gimana sih kok jadi gini padahal tiap bulan aku topup ga kek gini",1
gua nunggu kelanjutan flm algojo 2,5
kualitas vidio tidak bagus dan tidak lengkap,2
nonton bola pun masih patah² gimana ini,1
tidak semua siaran bola bsa di tonton..liga inggris malah ad yg ga bsa di tonton,2
bug mulu tiba² iklan prepare kan min benerin dong lagi nonton tiba tiba iklan sendiri😔,3
good game bisa nonton juve,5
saya sangat puas,5
nonton bola menitnya delay gak asik,1
tolong dong kasih video horor nya masa di sini nya nggak ada video horor nya sih gimana,5
apk nya bagus tapi untuk saat ini kenapa vidio tidak bisa melihat film,4
jos,5
okeh,5
"sudah sebulan tudak bisa nonton, buka chanel tv keluar iklan yang berulang terus",1
masa giliran laliga 45k tapi premier 99k ga adil dong males,1
bagus tapi gratis laa,4
apk nya berbayar🥲,1
"Dulu kalo nonton gak ada suruh bayar, sekarang malah bayarrrr,",1
binga,5
mohon maaf min ya? tolong dong jaringan di stabilkan dan juga iklan nya banyak sekali tolong iklannya yang durasinya 30 detik saja terimakasih,3
"jelek banget .. kebanyakan iklan , ditambah udah perbayar tetep banyak iklan , dibilanh gada jaringan padahal disini ga pernah ilang²an jaringan",1
kok beda sama laliga harga nya sama premier league?,1
"gua udah nggak berlangganan lagi kok Masi di tarik duit gua, mana duit gua tinggal itu lagi, apk apa ini weee tolong kembalikan uang sayaaaaaaaaaaaaaaaa",1
aplikasi tidak berguna,1
ak pribadi tidak menyarankan ak telah melakukan transaksi vidio platinum tapi sampai sekarang tdk ada bukti nyata malah ntn kyk tdk platinum penuh dengan iklan sangat mengecewakan,1
"kita dah bayar perbulan,buat nonton premier lige masa hrs bayar lgi,gunanya bayar perbulan itu buat apa?",1
banyak iklan anj gw mau nonton malah dikasih promo etdah filmnya malah keulang,1
saya download kok ga bisa ntn liga2 Eropa ya di HP knp ya... mau beli paket juga ga ada,3
"uda mahal' bayar premium biar filmnya ga lag dan ga banyak iklan taunya masi sama aja malah lebi parah dari sebelum premium, jujur kecewa banget si kalo bisa di refund mening milih refund, aga nyesel bayar mahal cuma buat nonton series lag",1
"terlalu banyak iklan yg gak peting, kalo bisa hapus iklannya",1
ok,5
siaran hd ☆☆☆☆☆,5
mau daftar pake no hp tapi tidak tersedia padahal saya ada paket video yg di cleam pake no hp,3
"mahal banget, udah beli premium, harus beli platinum lagi dan begitu seterusnya. mendingan aplikasi sebelah",1
"Aplikasi macam apa ini? Bayar mahal, sering buffering, aplikasi sebelah aman-aman aja, padahal pakai wifi yang sama. emang aneh",1
bagus,5
"makasih byk buat team costumer servicenya,kalau saya ada keluhan selalu ditanggapi dengan cepat dan baik",5
"min kenapa film ku kok muter trus,pdhl jaringan bagus. trus aku udh kritik 3 kali kok gk di bales sih sungguh aku nyesel udh langganan .tolong responsnya mind.",3
sering tidak ada tayangan yang seharus nya tayang,2
bagus,5
"aplikasi video gk jls masa gk muncul2 dari siang sampe sekarang , padahal mau nonton film , udh mana bayar lagi hadeuhhhh",5
"MIN TOLONG REFUND UANG SAYA SEHARGA RP 49.950, DANA SAYA TIBA TIBA TERPOTONG PADAHAL SAYA INGIN MEMBELI KEBUTUHAN SAYA DAN KENAPA TIDAK ADA METODE REFUND ORANG JADI RUGI TIDAK MELAKUKAN APA APA JADI TERPOTONG DANANYA TOLONG MIN SEGERA BALAS JAWABAN INI LEWAT EMAIL SAYA, KARENA SAYA SANGAT BUTUH DANANYA.",1
bagus,5
"iklan nya kurang banyak kk, beda banget sama yg dulu",1
langganan selalu eror 2 akun tetep sama entah dari aplikasi pembayaran nya,1
iklan mulu,3
mantap,5
sangat menghibur,4
kadang harus update apk,5
bagus tapi terlalu banyak iklan jadi yg paling banyak saya tonton adalah iklan nya,3
tolong kasih fitur penghemat data,1
change resolution.....? merepotkan.....coba ada di bagian setting...dan standar settingnya di set ke standard....buat hp gue yang kentang agak merepotkan buat bolak balik merubah seting resolution..,2
baik sekali,5
apk sangat tidak recomended,1
sudah bayar paket tp tidka bisa dipakai untuk nonton,1
"sangat buruk , iklan nya ada yang nyampe 3menit dan kualitas video nya tidak bisa di turunkan .. buruk sekali kesel saya dengan aplikasi ini",1
"Halo tim Vidio Saya tidak sengaja berlangganan layanan ( Refund Vidio Premium - Rp 49.950 ) ini / tidak menyadari biaya akan langsung terpotong. Setelah menyadari, saya segera membatalkan langganan agar tidak berlanjut. Saya belum menggunakan manfaat langganan ini sama sekali, sehingga mohon agar pembayaran yang sudah terpotong bisa dikembalikan sesuai kebijakan pengembalian dana. Terima kasih atas bantuan dan pengertiannya.",1
Untuk paket vidio platinum sudah sangat memberatkan! Maaf mending saya uninstall saja!,1
mantap jiwa,4
aplikasi sering down entah knp☹️,5
kenapa di perangkat saya atau pun di tv loading pemutaran live nya lama banget yaaa...apalagi di hp malah ga bisa,2
adain dong paket 24 jam berlangganan 10 rebu aja itu cocok sih harga pelajar. gak mau banget lah nonton bola dari siaran bajakan,5
tolong dikurangi iklan yang tidak jelas,1
apk bab1 sekarang udah langganan premium masih aja ga bisa di pake,1
kenapa siaran trans 7 gak bisa berlangganan ya,3
apk sampah banyak iklan harus berbayar pula cuhh,1
sangat puas,5
kalau ada nol gua kasih no dah masa vidio nya patah patah banyak iklan ngeleg banget padahal mah jaringan lancar lancar aja bukan sekali dua kali udh berkali kali cuman baru ngespeakup aja,1
lumayan lancar dan bagus tapi sudah tidak bisa cek langganan dan berlangganan,3
padahal sudah berlangganan tapi gak bisa nonton,1
pembayarannya delay. padahal udah kepotong di rekening. tapi proses mulu. jadi ngambil paket lagi ( 2 kali bayar) karena mau nonton liga 1. tapi udah 2 x 24 jam pembayaran ngga ada refund dari pembayaran pertama.,2
saya kecewa karna tidak bisa menonton vidio lain padahal saya sudah membeli paket premium tapi tidak bisa dipakai,1
"percuma langganan kalo di Facebook pada sliweran film"" vidio jadi gimana kesan nya ya kurang puas",1
soalnya ini banyak iklan nya dikit2 iklan lalu internetku lancar2 aja tapi aku mau liat vidio malah ngeleg GK jelas bngt,1
alhamdulillah,5
bugus,5
"APK KONTOLLL MENTANG' GW ABIS LANGGANAN, BULAN DEPANYA DI BAYAR OTOMATIS ANJG GAJELAS BALIKIN DUIT GW TOLOL",1
"beli paket internet sudah kombo dgn vidio, tp knp nggk ada paket nya di aplikasi vidionya, padahal dah beli",2
"nunggu selesaiin iklan kurang lebih 1 menit , terus tiba tiba aplikasi balek ke home tanpa dia apa apakan dan mau nonton nunggu iklan lagi, kadang ada bug iklan bisa muncul 4 kali apakah ini disengaja? ada iklan itu normal sering iklan itu normal tapi jangan buat orang susah kalau kami dah nonton iklan yang sepatutnya jangan ditambah lagi napa",2
min saya mau tanya jika paket habis apakah pembayaran otomatis itu langsung nyedot saldo kita ya min🙏 kalau pakai dana tidak ya min🙏,5
sekarang kalu mau nonton bayar semuanya ga kaya dulu ga ada pembayaran sekarang serba uang ga seasik dulu,1
saya sudah punyak paketan belum 1 minggu kok tetep maksain reguler dia dia donk bulanan saya,2
jangan macet,5
Tidak dapat log in menggunakan nomor hp karna sudah beli paket bundling.. Sampah!,1
langganan paket ultimate terlalu mahal hanya untuk menonton Premier League,3
saya beli paket ultimate. bukan untuk nonton iklan rokok. mana pas pertandingan nongol tulisan iklan kondom. gede lg tulisannya.,3
kaya tv iklan mulu👎,1
saya tidak bisa menonton king emyu hanya ada gambar tv5,1
bagaimana cara saya mengetahui jumlah perangkat yang digunakan? kok skrg seperti dihilangkan??,1
bagus,5
udah berlangganan liga 1 sinyal aman tapi kok digunakan live streaming bola delay Mulu dah tolong diperbaiki,1
baik,5
BAGUSS,5
okok aja,5
sejauh ini aman,5
pembayaran pertama saya melalui pulsa atau dana selalu error setelah melakukan pembelian ulang pulsa dan kredit dana syaa transaksinya double???? why vidio ??,1
beli paket tdk maauk masuk..,1
bagus vidionya,5
bagus tapi suka ngelag padahal koneksinya bagus,3
"aplikasi ini bagus sii tapi sayangnya tidak bisa di download ,maux harus berlangganan Bru bisa di Download",1
"saya beli paket 31 Jan 26 utk 30hr, tp tgl 28 Feb 26 paket saya sudah tidak aktif, kalian sehat tim vidio? bisa berhitung? mau di aktifkan lg pun gak bisa Krn kata google masih berlangganan paket itu.. tolong belajar lg lah di SD kalian.",1
Ok,5
coba harga paket nya di turunin doong tetlalu berat buat sya kalo beli paket liga inggris di semua perangkat,5
"aplikasinya jelek,,",1
bagus,5
"cara berhentikan langganan bayar otomatis bagaimana, saldo saya di shoope tau nya sudah ke potong aja,",1
"apalah ni langganan, katanya gratis, ternyata bayar njir",1
sudah beli paket 3 150rb dapat 150GB + Video ultimed ko gabisa aktivasi ya. tolong bantu cara aktivasi nya gimana min. padahal sudah verifikasi nomor 3 nya,1
saya harap nanti saat payment premium harus ada verifikasi dulu dari pengguna tidak langsung pembayaran otomatis memotong saldo,2
"Bulan Puasa mau nonton siaran TV yang isinya ceramah2 sama keluarga, nyari tayangan aman, lah kok iklan nya vidio vulgar2, diulang2 juga iklannya, yang nonton bocil2 pula, lu butuh duit wajar, sensor coy!, masak kalah filter iklannya sm youtube",1
sudah bayar tp gk bisa di tonton. di suruh bayar lagi. peak,1
bisa nonton dimana aja ....,4
banyak iklan terlalu lama,3
kacau. beli paket ultimate gk bisa bisa. keburu abis dah pertandingannya,2
terlalu banyak iklan ga jelas!!!!!!!,1
sinetron nya enk tpi sayang sekali terlalu banyak iklan😡😡,2
gak guna👎,1
"Bagusss saya suka,cuma kenapa ya gk bisa dibuka dilaptop",5
tiba2 gax busa di tonton wifi kenceng rugi bayar Paket,1
"aplikasi ini bagus ,kalian bisa nonton bola dan lain lain",5
eni,5
JANGAN PERNAH DOWLOAD APLIKASI INI KALO TIDAK INGIN TIBA TIBA NIH APLIKASI MOTONG SALDO TABUNGAN ANDA. SEPERTI SALDO SAYA YANG TIAP BULAN DI POTONG UNTUK APLIKASI INI PADAHAL SUDAH SAYA HAPUS DAN BERHENTIKAN LANGGANAN NYA.,1
banyak iklannya,1
"Palet pertama 109 ribu giliran mau perpanjang liga inggris ilang harga paket ganti hampir 200 ribu, fix bisnis model Indonesia paket awal pancingan sisanya topi menipu",1
kenapa saya udah topup mau lanjutin epsd yg lain kok mlah suruh topup lagi kecewa bener padaha udah extra samapai aku topup ke platinum malah suruh topup lagi gimna cerita,1
Bagus,5
udh langganan platinum extra ttp ada yg ga bisa di tonton aneh sama sistem nya,2
muantap,5
"Terimakasih vidio dan tim admin, ketika ada masalah semuanya teratasi 🙏",5
aplikasi apa ini banyak iklan nya baik gak usah download 😡😡😡 bintang 1 aja itu pun terpaksa,1
cara masukin kode voucher gimana 😭😭 ikhhh aaa aku udah beli padahal,3
"saya aktifka paket BWF+SPOTV tapi yg aktif paket lain saya jg ngak bisa nonton Motor GP, sangat mengecewakan",1
"sdh berbayar, banyak iklan juga, pas nonton acara TV nasional kadang jadindapet double iklan",3
"saya kecewa karena sudah bayar tapi tidak bisa memutar vidio,,, ini sama saja dengan penipuan",1
"pelayanan jelek , tidak konsisten, penipu",1
bagus,5
ini sebenarnya udah bagus aplikasinya cuman kadang iklan nya loh yang risi udah beli langganan tetep aja ada iklannya sama juga suka error dalam transaksi pembelian jadi bayarnya dua kali,1
puas,5
oke,5
filmnya cepat baru iklanya lama,4
oshop nya nggak ada,5
iklannya banyak Bgtt,1
iklannya ugal-ugalan 🤣 bukan lihat film tapi lihat iklan buset 😆,1
oke,5
mantap,5
suka,5
Kenapa Aplikasi ini tiba² jadi berbahasa inggris..??? Bagaimana cara'nya mengganti kebahasa Indonesia lagi..??,1
"bener bener aneh, apk g respon cepat dan benar",1
Untuk Android & IOS Redeem Voucher Tidak Tersedia,1
one piece seson 8 - 19 kok ga ada min ? Dari season 7 langsung ke 20 terima kasih,3
"Terlalu banyak iklan. Ya aku tahu banget kita gratisan,tapi ya iklannya gak sebanyak itu juga. Akibatnya apa? kalau di TV iklannya gak muncul,malah jadi diem doang kan. alhasil harus keluar dulu terus tonton lagi,tapi iklan lagi tetep😠",1
saya tadi membatalkan langganan tapi uang saya belum dikembalikan gimana itu,1
biasa selalu cepat aktif langganan.. ini KNPA tidak langsung aktv padahal sudah ada credit,2
Tiba-tiba saldo gua di ambil minta balikin lagi ga bisa tolol,1
min ini saya baru aja pasang rencana mau nobar india tpi kok ngak bisa yah min.yg lain bisa,3
buruan langganan,5
"banyakin update anime"" yang baru"" dong minnn, nanti aku tambah 1 bintang lagi 😇",4
aplikasi bagus terbaik,5
gambar streaming motoGP nya seras 720 ngk 1080.. klw di spotv now dia jernih x cuman ngk bisq bayar kek cara biasa wajib pakai kartu kredit. vidio kualitas gambar streaming live nya ditingkatkan donk,4
apaan udah perpanjang langganan Sampek 22/3/2026 malah gak bisa nonton malah suruh bayar paket lagi apaan cobak mana gak bisa di buat nonton meskipun udah di perpanjang masak abis perpanjang perpanjang lagi payah.,1
smoga kdepn lbih bnyak siaran,5
"Sangat suka dengan program live sport EPL, MotoGP, Liga 1 dan Badminton serta film-film action nya 👍",5
klo oke ksih binta 5,3
sudah berlangganan tetapi tetap dapat iklan,1
saya suka aplikasinya,5
"iklannya setiap 2 menit sekali padahal beli paket sinetron, ya seenggak nya iklan nya yang wajar dong ga sedikit² iklan",1
"makin kesini makin banyak iklan, nonton tv nasional pun di batasi",2
aku suka tapi kurang lengkap di vidio. tolong dong di lengkapin apa yang kita sukai semua tidak harus pakai apk lain,5
udh ngeleng iklannya banyyak banget aplikasi apaan ini,1
bagus video nya bisa nonton film kesukaan pokok nya d'best lah👍👌,5
mantapp,5
bagus keren,5
keren,5
"pemutaran video tidak lancar padahal jaringan bagus,",1
"baru sebentar nonton bola harus bayar pake , jelek ni aplksi",1
"Saya sudah melakukan transaksi scan melalui Qris BNI, saldo sudah kepotong, namun paket tetap tidak aktif, sudah saya email dan kritik namun slow respon",1
"udh langganan gbsa ntn live, d suruh beli paket lagi. yg kmren aja blm abis. heran",1
"Aplikasi jelekk, saya sudah berlangganan paket, masa harus di beli lagii, parah ini aplikasi,, saya sangat tidak menyarankan apk ini",1
"saya sudah melakukan pembayaran langganan tapi paket masih tidak aktif? sudah kirim email untuk bukti bukti nya, tolong segera di proses",1
"saya sudah berhasil membeli paket platinum buat nonton Persib. di aplikasi pembayaran sudah berhasil, di aplikasi vidio malah masih dalam proses pembayaran. saldo saya ga kembali dan saya tidak bisa menonton Persib",1
ini gimana cerita nya pihak video saya sudah beli paket yang 45k via tv sudah d bayarkan tapi tidak bisa akses ???,2
apk yg bagus untk yg suka ketinggalan nontong tv,4
aplikasi sampah,1
Suka nonton madrid,4
sangat memuaskan bisa nonton episode2 yg ketinggalan👍👍👍,5
udah di bayar paket malah ga masuk paketnya,1
ga jelas sudah langganan ga bisa di pake,1
udh beli paket tapi ga masuk masuk.. padahal saldo sudah terpotong..,1
good,5
Aplikasi ini sangat bagus,5
ok,5
baguss sangat,5
di tv terlalu banyak iklan dan barcode nya gak bisa🤕,3
sial aplikasi nonton bertarif,2
"sia"" bgt duit gua beli paketan di vidio ujung"" msih ttap ada iklan🥴",1
hilang uang syaa top up 150 GK bisa aktif pket nya,1
good,5
baguss banget app nya awalnya saya chat depeloper nya buat iklannya ga banyak banyak amat eh beneran dong iklannya ga ada lagi thankyou so much puas banget lancar terus rezekinya,5
"gercep bangetttttt, aku kirim email langsung sat set diatasin masalahku",5
Ada doraemon di vidio aku kasih bintang 5,5
bagus,5
mantap,5
"saya tidak bisa membuka siaran sepak bola ketika menggunakan jaringan wifi, itu kenapa ya? sedangkan pas pake jaringan seluler bisa, apakah ada yg sama?",5
tolong update lagi aplikasinya sediakan pembayaran lewat QRIS agar lebih mempermudah dalam pembelian paket nontonnya,2
mantap,5
vidio suka melakukan pembayaran paket otomatis klo kita ada saldo sementara kita tidak menyetujuinya. ini sengaja mau ngerampok pelanggan apa gimana?? mau tlfon cs nya kaga bisa. woy tolong kalian kembalikan dana gopay guaa!!!,1
kenapa ga bisa di update?,2
seru,5
login via nomor hp eror,1
Terbaik 🙏,5
"hanya orang bodoh yg mau download ini apk,mass mksain ngambil paket",1
Good 👍👍,5
udah beli paket premium tp nonton tv nasional sering ga bsa trutama transTV dan trans7. lebih bgus aplikasi sebelah. LANCAR,2
👍👍👍,5
Bagus sinetronnya favorit saya PPC.,5
curang banget nihh sekarang apk nyaa,1
rugi bayar langganan channel tv Indonesia tapi tidak bisa nonton cmn yg ada cmn ngeblank,1
nggak bisa nonton yg lain,1
GA JELAS KEBANYAKAN IKLAN,1
"kenapa saya tidak bisa daftar menggunakan nomor hp yaa,padahal nomer saya udah berlangganan platinum",1
sudah beli paket platinum tapi ga bisa digunakan untuk nonton series gimana sih padahal sudah langganan,1
apk ga guna orang engga melakukan transaksi apa apa tapii uang nyaa ketarik emng taii dari duluu gitu Mulu gua biarin eh malah keterusan kali ini gua sangat muak tolong kembalikan uang sayaa gapapa lah yang lama maa jangan ini maa gua baru isi saldo masa udaa ketarik gakjelas bangett,1
"oii, kenapaa yaa masa mau buka aplikasi video di google smart tv ga bisaa, inii malah ada pemberitahuan untuk timer, maksud nya apasih? udah di pasang timer malah gak selesai malah stuck di pemberitahuan. tolong yaa, aku udh stres Banget tentang aplikasi film ini",1
bisa balikin uang ku ga padahal udah ga mau langganan eh malah tiba tiba uang ku ke tarik,1
bagus,5
Kualitasnya bagus,5
min akun saya kok tidak aktif ya? padahal saya mau login kata nya suruh hubungi CS untuk mengaktifkan akun vidio saya tapi tidak ada respon bagaimana ya kin?,1
Video Siarkan Live Stream Kualifikasi Piala Dunia 2026 Zona Eropa Babak Play-off Antara Italia vs Irlandia Utara.Thanks,5
untuk aplikasi Video aplikasi yg sangat membantu untuk nongton bola tanpa hambatan pilem dan lain2 tapi sayang ya g ad tengang paket habis tiga puluh hari langsung op.g ad tengang masa paketnya.,5
"kadang yang harus nya siaran langsung ternyata cuma tayangan ulang , terus di chanel tv yang harus nya ada pertandingan olahraga malah di isi acara lain.. kayak kemaren di salah satu chanel tv gue mau nonton futsal eh malah di isi acara bedah rumah.. SANGAT MENGECEWAKAN",1
kenapa sering terhenti tiba tiba lagi nonton paket aman,2
terlalu banyak yg d byar,1
banyak iklan,2
"banyak iklan ny dan baru nonton udh ad iklan,pokokny bnyk iklan jdi mles nnton",1
"klw bisa jgn pki paket🙏🏻🙏🏻🙏🏻😇 maunya yg gratis,kyk Indosiar, Sctv, Mdtv dll, klw bisa Trans tv, trans 7,mnctv f ksih gratis jg🙏🏻🙏🏻🙏🏻 I love Indonesia ♥",5
dengan sepihak telah mengambil dana pdahal dulu saya cma beli paketnya hanya sekali,1
jelek,1
"udah bayar langganan, tetep ae ada iklan wkwk ganggu",1
"film perepisode nya kebanyakan yg ga lengkap, sia"" berlangganan",1
"apk sudah bagus, tinggal tambahkan metode pembayaran VA dan QRIS",5
aplikasi ini cukup bagus sama kayak tv tapi masalah nya saat mau pembesar layar video nya berhenti hanya keluar suara nya aja tolong di perbaiki lagi ya supaya bisa nonton saat pembesar layar,2
"suka tiba"" loading"" pas di play mau pas live ataupun nonton film, nanya di dm ig yang jawab malah bot di email pun gak membantu, Payah!",1
mau perpajang paket ultimet error trus,4
jelek udh langganan di bayar masih aj gabisa liat live bola,1
Ok,5
saya sudah bayar tapi tidak bisa nonton,1
buruk,1
sangat bagus kalau nonton bola,5
JUJUR SUKA BANGET SMA APK INI G TERLALU BANYAK IKLAN NYA,5
jadi bisa menikmati siaran TV Nusantara 😅,5
"kenapa setiap ingin memutar muncul iklan dan tidak mau memutar filem tersebut padahal saya sudah membeli paketnya knpa ya, lihat itu netflix tidak pernah seperti ini loh, tidak mau lagi saya membeli paket vidio karna bikin kecewa",1
"buat nonton tv gratis tpi ada iklannya , beli paket buat siaran tv ternyata tetep ada iklan nya.. masa gada beda nya beli paket sama gratisan..",2
Min kenapa di video drama korea skrg udah gaada ya?,3
keren,5
"Min kenapa saya daftar pake no hp tidak tersedia,padahal sayang saya punya bonus platinum dari pembelian kuota",1
"min saya udah berlangganan tapi ko saat mau nonton malah loading muter"" trus sih ga bisa kebuka filmnya,",4
Good,5
semakin tajam KLO kmu punya aset aset besar....,5
berbayar 😒 mahal pulak,1
"Ngegas banget iklannya, segitunya cari untung.. gw tandain ni aplikasi seumur hidup,, untung gak buka kios dikampung gw..",1
saya baru beli paket platinum 3bulan .kok baru 2 hari paket sudah tidak aktif.suruh langganan lgi .gimana ini video😡😡,4
LGI asik suruh bli pkt langanan mlh berhenti ..puh jgn didowlod ngisin pkt doang g jls,1
aplikasi unrated ini iklan nya menggila ihhh serem kali ni aplikasi,1
mantap,5
Mantap full live bola,5
manteb,5
"saat sedang menonton sering tiba2 hilang, loading beberapa menit dan terus berulang2. kualitas gambar jadi jelek",1
"paketnya cukup mahal , dan antar mukanya masih kurang bagus , kadang lag juga",4
sangat bagus,5
sangat puas nonton di sini...,5
macet - macet padahal sinyal lancar Kouta banyak tolong benerin dulu,1
baik,5
"Ini aplikasi nonton iklan, bukan nonton film 🥱🥱",1
mantap aplikasinya,5
kalau bisa beli paket nya jangan di persulit minimal bisa bayar quris masak harus top up dana / gopai dulu tadi saya top point guna buat apa coba saya kiri bisa di pakek buat bayar jadi langgan premium,5
iya banyak iklannya kurangi dong,1
sudah berlangganan tapi ga bisa download untuk nonton offline,2
koleksi film lengkap dan uptodate,5
pasti di suru beli paket perbulan apk ini mah,1
aplikasi jelek,1
